planet_id,bound1,bound2,bound3,bound4
824687737,65,55,121,131
827488781,66,55,121,132
830053386,65,54,120,131
835158662,65,54,124,135
846551798,65,55,121,132
847875671,65,55,121,132
848292925,65,55,121,132
855962840,65,55,122,131
864681126,65,55,121,132
871770446,66,55,122,132
887347899,66,55,121,132
890677371,66,55,121,132
901361366,65,55,121,131
902166631,65,55,121,131
912497889,65,55,122,131
919342592,65,55,122,131
941186385,65,54,120,131
944701519,65,55,121,132
957610605,68,57,116,127
966155807,67,58,116,127
968882953,65,56,122,131
985957621,69,58,120,131
989333577,66,56,121,131
998050736,65,55,121,131
998289603,65,55,121,132
1005054328,66,55,121,131
1011759019,66,55,121,132
1012051641,66,55,121,131
1012409820,65,55,120,131
1012571429,65,55,121,132
1017422390,66,55,121,131
1021609935,65,55,122,132
1035787464,65,55,121,131
1040089248,68,58,118,128
1044371083,65,54,121,132
1053056651,65,54,121,132
1055599128,65,55,121,131
1060351656,65,55,122,132
1068095157,65,55,121,132
1071978212,65,55,121,132
1076727237,65,55,121,132
1080605842,62,52,124,134
1082014264,66,55,121,132
1085856726,65,55,121,131
1087365206,66,55,121,132
1093580069,66,56,122,131
1101079594,65,55,121,131
1101707909,65,55,122,131
1114710037,66,55,121,131
1121250116,65,55,121,131
1122354479,70,60,114,124
1127135463,65,55,121,131
1129361124,65,56,122,131
1137318614,65,55,121,131
1151088909,65,55,121,132
1161253140,66,55,120,132
1173280312,65,55,121,132
1184823185,66,55,121,132
1196124605,65,55,121,132
1205725641,65,55,121,131
1215971796,65,55,121,131
1218579540,65,55,121,131
1226886844,60,50,126,136
1227146905,65,55,121,132
1236398737,66,55,121,132
1240300219,65,55,121,131
1242413576,65,55,121,131
1254987835,66,55,121,132
1261712158,65,55,121,131
1264467043,65,55,121,132
1273237025,66,55,121,131
1273256942,65,56,122,131
1277115141,65,55,121,131
1284352058,66,55,122,131
1285749933,65,55,121,132
1297419156,65,55,121,131
1313620170,65,55,122,131
1315791861,65,55,121,132
1318438045,68,58,118,128
1338777429,65,55,121,131
1340895569,65,55,121,132
1347888499,65,55,121,131
1362719118,65,55,121,131
1370642288,65,55,122,132
1388423740,65,56,121,131
1390687693,65,56,121,131
1392362496,70,59,116,126
1394990039,65,54,122,132
1396564311,65,55,122,131
1406894216,62,52,125,136
1413437034,65,55,120,129
1420180584,65,54,121,130
1429910325,65,55,121,131
1429936612,65,55,122,131
1431415873,66,55,121,132
1437547087,65,55,121,132
1438554421,65,55,121,131
1438611471,65,55,122,131
1439196998,69,59,116,127
1468955155,65,55,122,131
1482309188,66,55,121,132
1495061258,70,60,118,129
1502650989,65,54,121,132
1504537906,65,55,121,132
1508325713,65,55,121,131
1510814158,66,55,121,131
1528112893,66,55,121,132
1537427309,65,55,121,131
1539890953,65,54,121,131
1540575349,65,55,121,132
1542505990,66,54,121,132
1544052178,65,55,121,131
1548764506,65,56,121,131
1554937367,65,55,121,132
1569213600,65,55,121,131
1569258985,65,55,121,132
1574318756,65,55,121,132
1579203925,65,55,121,132
1583438553,66,55,121,132
1583591551,65,55,122,131
1583874489,65,55,121,131
1585014334,65,55,121,132
1592156923,65,55,121,131
1594641765,66,55,121,132
1598287691,65,55,121,131
1599653349,65,55,121,131
1604027523,65,55,122,131
1604366860,65,55,121,131
1608928178,65,55,121,131
1609759068,64,54,125,135
1615603560,65,55,121,132
1629044074,65,55,121,131
1636090864,65,55,121,131
1645275092,63,53,124,134
1649111978,65,55,122,131
1653686448,66,55,121,131
1655967875,66,55,121,132
1656095778,65,55,120,131
1656580533,65,55,121,131
1661748415,65,55,121,131
1662041072,65,55,121,132
1669788725,65,55,122,131
1671135782,66,55,121,132
1676288765,65,55,121,131
1693505406,65,55,121,132
1697530312,63,54,122,132
1705473070,65,55,121,132
1711683835,65,55,121,131
1718377842,66,55,121,131
1720388855,65,55,121,131
1723375224,65,55,121,131
1725624016,67,57,121,131
1732981508,65,55,122,131
1754973667,65,55,121,131
1762835180,66,55,121,131
1767944001,66,54,120,131
1770216760,65,55,121,132
1771027672,65,55,122,132
1785765384,65,55,121,131
1788675439,65,55,121,132
1798931901,65,55,121,131
1802809018,65,55,121,131
1803632865,65,55,121,131
1806321292,65,55,121,131
1806781124,65,55,121,132
1817510468,65,55,121,131
1819058753,65,55,121,131
1839665471,65,56,121,131
1841403352,65,54,121,132
1842626173,65,55,122,131
1851017591,65,55,121,131
1852150662,66,55,122,132
1854569585,65,55,121,132
1859679770,67,57,120,130
1859732941,66,55,121,131
1864259668,66,55,121,132
1867440938,69,59,119,129
1872623256,66,55,121,131
1877571378,65,55,121,131
1885277587,65,55,125,134
1885744867,66,55,122,131
1887580996,65,56,121,131
1891663121,65,55,121,131
1901457679,66,55,121,132
1907037428,67,57,117,128
1907771348,65,56,122,131
1909239671,65,55,121,131
1910935418,71,61,115,125
1924898052,65,55,121,132
1934262433,65,55,122,131
1944230894,65,55,121,131
1946982092,65,55,121,131
1947998963,66,55,121,132
1949187031,66,55,121,132
1949835946,59,48,125,136
1954167669,65,55,121,131
1954665634,65,56,122,131
1963502034,65,55,122,131
1965638805,65,55,121,131
1971619027,65,55,121,131
1980994560,62,52,122,131
1981364273,65,55,121,132
1989641334,65,55,121,131
1990548959,61,51,127,137
1993590741,65,55,121,131
1994184718,65,55,121,131
2009927905,65,55,121,131
2015045591,65,55,121,131
2016150489,65,55,121,132
2020870068,65,55,122,131
2025689074,66,55,121,131
2026728872,66,55,121,132
2027199735,65,55,122,131
2034314944,66,56,119,128
2035492415,65,55,121,132
2039381353,65,56,121,131
2040852024,66,55,122,132
2042816882,65,55,121,131
2047136560,66,55,121,132
2059081577,65,56,121,131
2061358467,65,55,121,131
2062797353,65,55,121,131
2066433619,65,55,121,132
2074140845,62,52,127,137
2074815590,65,55,121,131
2078072980,69,59,116,126
2081786992,65,55,121,131
2086295868,66,55,121,132
2128229789,65,55,121,131
2132729888,65,55,120,132
2137970284,65,55,121,131
2161819831,65,55,121,131
2178609948,65,55,121,131
2189033555,65,55,121,131
2193939147,65,55,121,131
2194084083,65,55,121,132
2196974738,66,55,120,132
2197931868,65,56,122,131
2206519853,65,56,121,131
2217132592,65,55,122,131
2224327373,68,57,117,127
2227472043,65,55,122,132
2233970670,65,55,121,131
2237015181,66,55,121,132
2237942433,65,55,122,131
2247624106,65,56,121,132
2248456905,65,55,122,131
2250572533,70,60,116,125
2253206868,65,55,121,131
2254353101,65,55,121,132
2276622978,65,55,121,132
2287863054,65,55,121,131
2291997915,65,55,121,131
2295018082,65,55,122,131
2303635924,65,55,121,132
2314241972,66,55,121,132
2320457425,65,54,121,132
2325932273,63,52,124,134
2333658941,65,55,121,131
2346223738,66,55,121,132
2364740784,65,55,121,132
2372647732,66,56,122,131
2384398114,66,55,122,132
2385019512,65,55,121,132
2386941703,65,55,121,131
2445749116,65,55,121,131
2450147796,66,55,121,131
2452762851,65,55,121,132
2455073775,65,55,121,132
2465063333,65,55,121,131
2465743719,65,55,122,131
2466007563,65,55,121,131
2470022534,65,55,122,131
2486025247,63,52,121,131
2503200730,66,55,121,131
2506277319,65,55,122,131
2506720535,65,55,121,131
2515050523,65,55,122,131
2530918707,65,55,121,132
2536093666,65,55,121,132
2545226729,65,55,120,132
2550833762,66,55,121,132
2556934812,65,55,121,131
2558442317,65,55,121,131
2560123809,65,55,122,132
2560873375,66,55,121,131
2561838459,66,55,121,131
2561946317,69,58,116,127
2570413614,66,55,121,132
2571663188,66,56,119,129
2573514144,65,55,121,131
2575579664,65,55,122,131
2590423296,65,56,122,131
2597490105,65,55,121,132
2601096321,65,55,122,131
2609107638,66,55,122,131
2630811963,65,54,124,134
2633183716,65,55,121,131
2636709977,63,53,122,132
2641456641,65,55,122,131
2644487066,65,55,121,132
2660295140,65,55,121,131
2660562218,65,55,121,131
2670442737,65,55,121,132
2675006243,66,55,121,132
2684704287,61,51,128,138
2692159256,65,55,121,131
2702825697,66,55,121,131
2708602782,66,54,123,132
2713826507,65,55,122,131
2720835155,66,55,121,131
2731744229,65,55,121,131
2734053664,65,55,121,131
2737173563,66,56,122,133
2751412614,66,55,121,132
2758428682,65,55,122,131
2758726928,74,64,115,125
2758941622,65,56,121,131
2762956949,65,56,121,131
2764364262,65,55,121,132
2780013210,65,55,122,131
2790829338,65,55,121,132
2791509259,65,56,122,131
2811219064,65,55,121,132
2816803663,68,57,119,130
2817108197,65,55,121,131
2821963592,69,58,116,127
2838808228,65,55,121,131
2845050954,65,55,121,131
2849517986,73,63,115,125
2853876513,65,55,121,131
2858591687,65,55,121,131
2862728730,70,60,115,126
2863140027,59,49,125,135
2869539781,66,54,121,132
2870915117,65,56,121,131
2877156894,65,55,121,131
2877883556,61,51,127,136
2883014146,70,59,115,126
2885306803,66,55,122,132
2887450026,65,55,121,132
2890766898,66,55,121,132
2891311453,61,52,126,135
2894861895,65,56,122,131
2894958665,65,55,121,132
2895446126,65,54,121,131
2898410358,65,55,121,132
2899498670,65,55,121,131
2899982705,66,55,121,132
2906452125,65,55,121,131
2910555879,65,55,121,131
2911173444,65,55,121,131
2913196659,65,55,121,131
2914588022,65,55,121,131
2927554342,65,54,121,132
2930443698,65,55,121,132
2939180626,65,55,121,131
2941815911,65,55,121,131
2954316800,65,55,121,131
2958627654,66,55,121,132
2962442845,65,55,121,131
2968910705,65,55,121,131
2982016260,65,55,121,131
2982060809,65,55,121,131
2986259922,59,48,126,136
2993461427,65,55,121,131
2994980578,66,56,120,129
2995259050,64,54,122,133
2999629755,65,55,121,132
3000955010,65,55,119,129
3023519715,65,55,121,131
3023703329,65,55,122,131
3032660829,65,55,121,132
3034529013,65,55,121,131
3035295868,65,55,121,131
3039307861,65,55,121,131
3041422882,65,55,121,131
3046407287,65,55,122,131
3056887059,66,55,121,131
3058413680,66,55,121,131
3059098383,65,56,122,131
3074485005,65,55,121,132
3082264358,65,55,121,132
3082702832,65,55,121,131
3094871953,65,55,121,131
3101987149,65,55,121,131
3103511751,65,55,121,131
3109601437,71,61,118,127
3117487606,59,49,128,138
3124355137,65,55,121,131
3135808055,65,55,122,131
3137638902,66,55,120,132
3143365022,66,55,121,132
3163168710,65,55,121,131
3175562842,65,55,121,131
3182552250,65,55,121,132
3187674344,65,55,121,131
3193829447,65,55,121,131
3207402559,64,54,124,134
3210028778,69,58,119,129
3213637048,65,55,121,131
3214557574,65,55,121,131
3215997593,65,56,121,131
3227501674,65,55,121,131
3235958758,65,55,121,132
3247461698,66,55,121,132
3247773632,65,55,121,131
3257778880,65,55,121,132
3267648621,65,55,121,131
3269061542,66,55,121,132
3270929768,65,55,121,131
3271952720,65,55,121,131
3274607066,65,56,122,131
3277793728,59,49,129,139
3283934223,60,50,128,138
3284427611,65,55,121,131
3290009033,65,55,121,131
3308013333,65,55,122,131
3308226296,65,54,119,130
3311807250,66,55,121,132
3329685364,65,55,121,132
3338393823,62,52,125,135
3339424565,65,55,121,131
3340984301,65,55,121,132
3342950340,67,57,120,130
3385600500,65,55,121,131
3391288154,65,55,121,131
3399621278,65,55,121,132
3405376171,65,55,121,131
3421574015,65,55,122,132
3432603686,65,55,121,131
3441268113,65,55,121,132
3452964090,62,51,124,134
3454679764,65,55,121,132
3459443535,65,55,121,132
3464855505,65,55,121,132
3472047977,65,55,121,132
3475796311,65,55,121,131
3478404079,65,55,121,131
3482461315,66,54,121,131
3483698151,66,55,123,133
3501979807,65,55,120,132
3503831607,65,55,121,131
3531723440,66,56,121,131
3533872876,65,55,122,131
3538208212,65,55,121,131
3539478092,65,56,122,131
3545994138,65,55,121,131
3549820907,65,55,122,131
3575998926,65,55,121,132
3584299946,64,54,121,132
3597960801,66,55,121,132
3603727260,63,54,122,131
3625059830,66,55,121,131
3625877959,65,55,121,132
3633474854,65,56,122,131
3636815200,65,55,121,132
3642128364,65,56,121,131
3648438690,65,55,122,131
3671097679,65,55,121,132
3673677284,65,55,122,131
3678150269,69,59,118,128
3685062779,65,55,121,131
3689192911,65,55,121,131
3689245843,65,55,122,131
3690278318,65,56,121,131
3691267724,65,55,121,131
3693798020,65,56,122,131
3699474491,65,55,121,132
3704372959,65,55,121,131
3705719250,65,55,121,131
3710453865,65,56,121,131
3713067054,65,55,121,131
3718288752,67,57,118,128
3724419524,65,55,121,131
3734125987,65,56,121,131
3737988195,66,55,121,132
3747847047,69,59,116,126
3750875292,65,55,121,131
3756521544,65,55,122,131
3760333362,66,55,121,131
3763353910,65,55,121,131
3771476325,65,56,122,131
3779392391,65,55,121,131
3795252140,65,55,121,131
3796601559,65,55,121,131
3796624928,65,55,121,131
3804631547,60,49,125,135
3838183950,65,55,121,131
3838792377,66,55,121,131
3842343027,65,55,121,131
3861091963,65,55,121,131
3866291478,65,56,122,131
3874271955,65,55,121,131
3875101730,65,55,121,132
3875726419,72,62,117,127
3885613633,65,55,121,131
3888934497,73,63,114,123
3892132996,65,55,121,132
3904845904,65,56,121,131
3912318842,65,56,121,131
3913138351,65,55,122,131
3913207660,65,55,122,131
3932146472,65,55,122,131
3936719360,65,55,121,131
3937238283,65,55,122,131
3943521076,65,55,122,131
3952673580,72,61,116,126
3953028309,65,55,122,131
3957394378,66,55,121,131
3959779372,65,55,121,132
3960808611,65,55,121,132
3961748982,65,55,121,131
3962521565,61,52,123,133
3963820198,63,53,122,132
3983854782,66,56,121,132
3983871342,65,55,122,131
4011881058,67,57,121,131
4012276852,66,55,122,132
4013505860,66,54,122,132
4017291223,65,55,122,131
4017761584,66,56,121,131
4046148192,66,55,121,132
4046238097,65,55,121,131
4055463712,66,56,122,131
4080013326,65,55,121,132
4093882471,65,55,121,131
4094260407,59,49,127,138
4096233594,65,54,121,131
4133293270,65,55,121,131
4138071307,65,55,121,132
4141729806,72,61,116,127
4150857627,73,63,115,125
4154084890,65,55,121,130
4156643187,65,55,121,131
4165611714,65,55,121,132
4167675411,64,54,120,131
4175492103,65,56,121,131
4176562407,67,57,121,132
4180636816,65,55,121,132
4185365244,65,55,121,131
4196709764,62,52,124,134
4197469272,65,55,121,132
4199801857,66,54,121,132
4205863992,65,55,121,131
4228013544,65,55,121,131
4246618328,65,55,121,131
4247255382,65,55,121,132
4247918843,65,55,121,131
4249337798,65,55,121,131
4257395405,65,56,121,131
4266129805,65,55,122,131
4273166473,65,55,122,131
4286133832,66,55,121,131
